Nom item;niveau;taux brisage initial;taux brisage après brisage;nombre d'items brisé en même temps
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 47 ; 1
Pelle de Koutoulou;34; 47 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 46 ; 1
Pelle de Koutoulou;34; 46 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 45 ; 1
Pelle de Koutoulou;34; 45 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
Pelle de Koutoulou;34; 44 ; 44 ; 1
